plant,customer,distance,locations
plant_3,customer_166,986.6,"[-77.623197, 39.343855]"
plant_3,customer_169,305.19,"[-87.025061, 34.36266]"
plant_3,customer_172,315.76,"[-87.28252, 35.039849]"
plant_3,customer_173,784.28,"[-102.731391, 33.068569]"
plant_3,customer_176,706.08,"[-82.222238, 37.85643]"
plant_3,customer_177,470.7,"[-98.333462, 33.334719]"
plant_3,customer_178,410.41,"[-86.492109, 36.919549]"
plant_3,customer_179,397.05,"[-86.2689, 32.778382]"
plant_3,customer_180,261.82,"[-88.955489, 36.180572]"
plant_3,customer_183,660.34,"[-101.556273, 33.621196]"
plant_3,customer_185,288.99,"[-94.201025, 32.425089]"
plant_3,customer_191,417.58,"[-97.050624, 32.339706]"
plant_3,customer_193,318.74,"[-87.850058, 32.914681]"
plant_3,customer_194,270.45,"[-88.478646, 36.248479]"
plant_3,customer_195,954.97,"[-79.467811, 40.371319]"
plant_3,customer_196,248.43,"[-88.931807, 36.035077]"
plant_3,customer_202,561.04,"[-99.164474, 34.392414]"
plant_3,customer_206,317.46,"[-95.552292, 32.872611]"
plant_3,customer_207,120.72,"[-91.562084, 32.825533]"
plant_3,customer_211,701.24,"[-101.658174, 32.624494]"
plant_3,customer_216,900.26,"[-80.622259, 40.646771]"
plant_3,customer_217,575.76,"[-99.905346, 32.622764]"
plant_3,customer_218,146.5,"[-90.235788, 33.466932]"
plant_3,customer_220,824.31,"[-103.506459, 33.512406]"
plant_3,customer_221,288.03,"[-89.19509, 32.136275]"
plant_3,customer_223,170.57,"[-90.262907, 32.765704]"
plant_3,customer_227,141.0,"[-89.766549, 34.070688]"
plant_3,customer_231,939.54,"[-78.252587, 39.035022]"
plant_3,customer_235,435.92,"[-97.523495, 32.917792]"
plant_3,customer_241,164.82,"[-91.797593, 32.182866]"
plant_3,customer_246,255.14,"[-88.609779, 33.324347]"
plant_3,customer_247,935.36,"[-79.714641, 40.14654]"
plant_3,customer_248,269.1,"[-94.719732, 32.824375]"
plant_4,customer_1,310.16,"[-97.400281, 33.119504]"
plant_4,customer_2,789.4,"[-104.146281, 34.045009]"
plant_4,customer_4,454.73,"[-86.024723, 33.64755]"
plant_4,customer_5,769.9,"[-104.642711, 32.647087]"
plant_4,customer_10,837.01,"[-81.36037, 36.622746]"
